iter	Passed	Remaining
0	113	113754
1	235	117373
2	319	106308
3	410	102149
4	497	98992
5	602	99847
6	702	99684
7	803	99666
8	903	99502
9	995	98569
10	1097	98647
11	1192	98172
12	1295	98337
13	1399	98564
14	1509	99101
15	1606	98817
16	1701	98394
17	1799	98165
18	1903	98271
19	2004	98217
20	2108	98277
21	2208	98193
22	2309	98100
23	2408	97961
24	2511	97966
25	2613	97893
26	2717	97919
27	2817	97824
28	2921	97831
29	3022	97720
30	3122	97598
31	3223	97517
32	3328	97529
33	3440	97744
34	3534	97445
35	3633	97288
36	3738	97290
37	3835	97095
38	3938	97052
39	4037	96891
40	4141	96865
41	4239	96695
42	4341	96634
43	4441	96492
44	4537	96288
45	4638	96189
46	4733	95988
47	4831	95815
48	4933	95751
49	5031	95596
50	5136	95571
51	5233	95409
52	5337	95366
53	5423	95009
54	5528	94986
55	5626	94840
56	5723	94685
57	5808	94345
58	5913	94312
59	6013	94205
60	6113	94112
61	6212	93994
62	6315	93928
63	6402	93640
64	6499	93488
65	6588	93238
66	6688	93146
67	6788	93041
68	6889	92961
69	6984	92796
70	7079	92632
71	7166	92366
72	7267	92293
73	7363	92149
74	7462	92037
75	7565	91985
76	7662	91851
77	7756	91681
78	7839	91390
79	7935	91262
80	8031	91121
81	8132	91048
82	8233	90964
83	8327	90805
84	8417	90608
85	8504	90384
86	8602	90278
87	8695	90120
88	8794	90021
89	8878	89773
90	8980	89704
91	9069	89516
92	9163	89365
93	9248	89137
94	9346	89037
95	9426	88770
96	9527	88691
97	9628	88619
98	9704	88322
99	9798	88187
100	9895	88075
101	9992	87976
102	10085	87834
103	10171	87631
104	10252	87391
105	10342	87229
106	10435	87096
107	10511	86819
108	10608	86718
109	10699	86565
110	10785	86380
111	10878	86253
112	10977	86170
113	11061	85968
114	11155	85845
115	11252	85751
116	11349	85652
117	11446	85559
118	11532	85382
119	11631	85299
120	11720	85142
121	11814	85024
122	11896	84825
123	11984	84662
124	12062	84440
125	12154	84308
126	12237	84118
127	12336	84044
128	12427	83906
129	12527	83835
130	12604	83610
131	12704	83541
132	12789	83372
133	12884	83269
134	12978	83160
135	13065	83001
136	13155	82868
137	13233	82661
138	13318	82495
139	13399	82314
140	13476	82103
141	13565	81965
142	13655	81836
143	13737	81660
144	13833	81572
145	13920	81428
146	13996	81220
147	14078	81045
148	14179	80987
149	14251	80761
150	14336	80607
151	14424	80472
152	14515	80358
153	14617	80298
154	14700	80141
155	14786	79999
156	14867	79831
157	14964	79749
158	15054	79628
159	15135	79463
160	15218	79307
161	15301	79154
162	15385	79005
163	15465	78835
164	15555	78722
165	15646	78610
166	15734	78485
167	15824	78370
168	15909	78229
169	15994	78089
170	16085	77981
171	16166	77826
172	16248	77673
173	16345	77592
174	16423	77424
175	16499	77249
176	16575	77070
177	16653	76906
178	16741	76788
179	16816	76608
180	16902	76483
181	16988	76354
182	17079	76251
183	17173	76161
184	17250	75995
185	17331	75849
186	17412	75703
187	17487	75529
188	17569	75391
189	17647	75235
190	17739	75138
191	17823	75006
192	17898	74841
193	17983	74714
194	18061	74560
195	18137	74401
196	18217	74255
197	18296	74108
198	18375	73964
199	18451	73806
200	18531	73665
201	18613	73531
202	18691	73384
203	18767	73228
204	18848	73095
205	18952	73049
206	19033	72914
207	19118	72796
208	19205	72687
209	19285	72550
210	19382	72476
211	19454	72310
212	19536	72183
213	19620	72063
214	19697	71920
215	19781	71799
216	19858	71656
217	19942	71537
218	20016	71383
219	20094	71244
220	20173	71111
221	20243	70941
222	20339	70867
223	20419	70739
224	20502	70618
225	20594	70530
226	20673	70399
227	20753	70269
228	20829	70129
229	20930	70070
230	21005	69927
231	21101	69852
232	21177	69711
233	21255	69580
234	21336	69458
235	21414	69324
236	21489	69183
237	21575	69076
238	21657	68960
239	21733	68823
240	21812	68695
241	21892	68572
242	21974	68454
243	22052	68325
244	22130	68199
245	22211	68078
246	22292	67959
247	22371	67834
248	22447	67702
249	22538	67615
250	22631	67534
251	22712	67417
252	22799	67317
253	22890	67230
254	22976	67128
255	23047	66982
256	23135	66885
257	23219	66778
258	23295	66649
259	23369	66513
260	23441	66372
261	23521	66255
262	23597	66126
